nthreads,inicializacao,processamento,finalizacao,total
1, 0.000046, 0.304831, 0.000001, 0.304878
1, 0.000023, 0.305100, 0.000001, 0.305124
1, 0.000024, 0.304707, 0.000001, 0.304731
1, 0.000020, 0.306129, 0.000001, 0.306149
1, 0.000021, 0.304367, 0.000001, 0.304389

2, 0.000052, 0.412308, 0.000001, 0.412360
2, 0.000021, 0.417516, 0.000001, 0.417537
2, 0.000021, 0.405932, 0.000001, 0.405953
2, 0.000023, 0.413681, 0.000001, 0.413704
2, 0.000030, 0.407506, 0.000001, 0.407537

4, 0.000022, 0.469942, 0.000000, 0.469964
4, 0.000023, 0.457340, 0.000000, 0.457363
4, 0.000034, 0.491077, 0.000001, 0.491111
4, 0.000021, 0.464394, 0.000000, 0.464415
4, 0.000058, 0.469633, 0.000001, 0.469692

