totalPrimos,tamanhoN,nthreads,inicializacao,processamento,finalizacao,total
168,1000,1, 0.000004, 0.000197, 0.000000, 0.000201
168,1000,1, 0.000004, 0.000184, 0.000000, 0.000188
168,1000,1, 0.000004, 0.000201, 0.000000, 0.000206
168,1000,1, 0.000004, 0.000202, 0.000000, 0.000206
168,1000,1, 0.000004, 0.000204, 0.000000, 0.000208

168,1000,2, 0.000004, 0.000220, 0.000000, 0.000224
168,1000,2, 0.000004, 0.000227, 0.000000, 0.000231
168,1000,2, 0.000004, 0.000231, 0.000000, 0.000235
168,1000,2, 0.000005, 0.000252, 0.000000, 0.000257
168,1000,2, 0.000005, 0.000245, 0.000000, 0.000250

168,1000,4, 0.000005, 0.000340, 0.000000, 0.000345
168,1000,4, 0.000004, 0.000316, 0.000000, 0.000320
168,1000,4, 0.000005, 0.000335, 0.000000, 0.000340
168,1000,4, 0.000004, 0.000405, 0.000000, 0.000410
168,1000,4, 0.000004, 0.000314, 0.000000, 0.000319

78498,1000000,1, 0.000005, 0.060130, 0.000001, 0.060136
78498,1000000,1, 0.000005, 0.060049, 0.000001, 0.060055
78498,1000000,1, 0.000008, 0.059153, 0.000001, 0.059162
78498,1000000,1, 0.000004, 0.058581, 0.000001, 0.058586
78498,1000000,1, 0.000004, 0.060132, 0.000001, 0.060136

78498,1000000,2, 0.000004, 0.045318, 0.000000, 0.045322
78498,1000000,2, 0.000004, 0.045093, 0.000000, 0.045098
78498,1000000,2, 0.000006, 0.044492, 0.000000, 0.044498
78498,1000000,2, 0.000004, 0.046888, 0.000000, 0.046892
78498,1000000,2, 0.000005, 0.045475, 0.000000, 0.045480

78498,1000000,4, 0.000004, 0.049762, 0.000000, 0.049767
78498,1000000,4, 0.000005, 0.049630, 0.000000, 0.049635
78498,1000000,4, 0.000004, 0.049239, 0.000000, 0.049243
78498,1000000,4, 0.000004, 0.048864, 0.000000, 0.048868
78498,1000000,4, 0.000004, 0.049780, 0.000000, 0.049784

