tamanhoN,nthreads,inicializacao,processamento,finalizacao,total
1000,1, 0.000005, 0.000228, 0.000001, 0.000233
1000,1, 0.000005, 0.000207, 0.000000, 0.000212
1000,1, 0.000004, 0.000217, 0.000000, 0.000221
1000,1, 0.000004, 0.000216, 0.000000, 0.000220
1000,1, 0.000004, 0.000280, 0.000000, 0.000285

1000,2, 0.000005, 0.000244, 0.000000, 0.000249
1000,2, 0.000005, 0.000238, 0.000000, 0.000244
1000,2, 0.000004, 0.000246, 0.000000, 0.000251
1000,2, 0.000005, 0.000242, 0.000000, 0.000247
1000,2, 0.000004, 0.000232, 0.000000, 0.000236

1000,4, 0.000004, 0.000313, 0.000000, 0.000317
1000,4, 0.000004, 0.000353, 0.000000, 0.000357
1000,4, 0.000004, 0.000339, 0.000000, 0.000343
1000,4, 0.000004, 0.000314, 0.000000, 0.000319
1000,4, 0.000005, 0.000333, 0.000000, 0.000338

1000000,1, 0.000004, 0.089445, 0.000001, 0.089450
1000000,1, 0.000004, 0.088736, 0.000001, 0.088741
1000000,1, 0.000005, 0.088045, 0.000001, 0.088050
1000000,1, 0.000004, 0.087499, 0.000001, 0.087504
1000000,1, 0.000004, 0.086960, 0.000001, 0.086964

1000000,2, 0.000004, 0.059474, 0.000000, 0.059479
1000000,2, 0.000004, 0.061402, 0.000000, 0.061407
1000000,2, 0.000004, 0.059666, 0.000000, 0.059670
1000000,2, 0.000004, 0.060658, 0.000000, 0.060663
1000000,2, 0.000004, 0.060079, 0.000000, 0.060083

1000000,4, 0.000005, 0.055627, 0.000000, 0.055632
1000000,4, 0.000004, 0.056837, 0.000000, 0.056842
1000000,4, 0.000004, 0.055480, 0.000000, 0.055484
1000000,4, 0.000004, 0.056609, 0.000000, 0.056613
1000000,4, 0.000004, 0.055562, 0.000000, 0.055567

